"id","text"
"dark-patterns-buster-593","Google Back Cover for Google Pixel 8"
"dark-patterns-buster-594","Black, Pack of: 1"
"dark-patterns-buster-595","Black, Pack of: 1"
"dark-patterns-buster-596","4.6"
"dark-patterns-buster-597","4.6"
"dark-patterns-buster-598","(27)"
"dark-patterns-buster-599","(27)"
"dark-patterns-buster-600","₹2,399"
"dark-patterns-buster-601","₹2,399"
"dark-patterns-buster-602","₹"
"dark-patterns-buster-603","₹"
"dark-patterns-buster-604","3,499"
"dark-patterns-buster-605","3,499"
"dark-patterns-buster-606","31% off"
"dark-patterns-buster-607","31% off"
"dark-patterns-buster-608","Google Back Cover for Google Pixel 8 Pro"
"dark-patterns-buster-609","Google Back Cover for Google Pixel 8 Pro"
"dark-patterns-buster-610","Black, Pack of: 1"
"dark-patterns-buster-611","Black, Pack of: 1"
"dark-patterns-buster-612","4.7"
"dark-patterns-buster-613","4.7"
"dark-patterns-buster-614","(21)"
"dark-patterns-buster-615","(21)"
"dark-patterns-buster-616","₹2,399"
"dark-patterns-buster-617","₹2,399"
"dark-patterns-buster-618","₹"
"dark-patterns-buster-619","₹"
"dark-patterns-buster-620","3,499"
"dark-patterns-buster-621","3,499"
"dark-patterns-buster-622","31% off"
"dark-patterns-buster-623","31% off"
"dark-patterns-buster-624","Google Back Cover for Google Pixel 7"
"dark-patterns-buster-625","Google Back Cover for Google Pixel 7"
"dark-patterns-buster-626","Black"
"dark-patterns-buster-627","Black"
"dark-patterns-buster-628","4.5"
"dark-patterns-buster-629","4.5"
"dark-patterns-buster-630","(200)"
"dark-patterns-buster-631","(200)"
"dark-patterns-buster-632","₹2,389"
"dark-patterns-buster-633","₹2,389"
"dark-patterns-buster-634","₹"
"dark-patterns-buster-635","₹"
"dark-patterns-buster-636","2,399"
"dark-patterns-buster-637","2,399"
"dark-patterns-buster-638","Google Back Cover for Google Pixel 7 pro"
"dark-patterns-buster-639","Google Back Cover for Google Pixel 7 pro"
"dark-patterns-buster-640","White"
"dark-patterns-buster-641","White"
"dark-patterns-buster-642","4.4"
"dark-patterns-buster-643","4.4"
"dark-patterns-buster-644","(77)"
"dark-patterns-buster-645","(77)"
